"Address","Coordinates"
"3007 Weissenb��hlweg, Bern Bern","7.434828400000019,46.93747079999993"
"3007 Seftigenstrasse, Bern Bern","7.432350800000019,46.93783859999992"
"3007 Seftigenstrasse, Bern Bern","7.432357000000018,46.93795209999992"
"3007 Weissenb��hlweg, Bern Bern","7.432623700000018,46.93800149999992"
"3007 Weissenb��hlweg, Bern Bern","7.432804800000018,46.93799499999992"
"3007 Seftigenstrasse, Bern Bern","7.432422500000018,46.93823869999992"
"3007 Seftigenstrasse, Bern Bern","7.432317100000018,46.93825769999992"
"3007 Weissenb��hlweg, Bern Bern","7.4328353000000185,46.93823519999992"
"3007 Morellweg, Bern Bern","7.433190200000018,46.937815199999925"
"3007 Weissenb��hlweg, Bern Bern","7.432967200000018,46.93798749999993"
"3007 Weissenb��hlweg, Bern Bern","7.433126300000018,46.937979899999924"
"3007 Weissenb��hlweg, Bern Bern","7.433468400000018,46.937950099999924"
"3007 Weissenb��hlweg, Bern Bern","7.433272800000019,46.93813779999992"
"3007 Weissenb��hlweg, Bern Bern","7.433611000000019,46.93812559999992"
"3007 Seftigenstrasse, Bern Bern","7.435320700000019,46.93529749999992"
"3007 Seftigenstrasse, Bern Bern","7.432299200000019,46.93844149999992"
"3007 Seftigenstrasse, Bern Bern","7.432269900000019,46.93873999999992"
"3007 Seftigenstrasse, Bern Bern","7.432284700000019,46.93858949999992"
"3007 Mayweg, Bern Bern","7.432411800000018,46.93901699999992"
"3007 Mayweg, Bern Bern","7.432670900000018,46.93879329999992"
"3007 Mayweg, Bern Bern","7.432745200000018,46.93894209999992"
"3007 Mayweg, Bern Bern","7.433061800000019,46.93872479999991"
"3007 Mayweg, Bern Bern","7.433241700000019,46.938681899999914"
"3007 Mayweg, Bern Bern","7.433072400000018,46.938850499999916"
"3007 Mayweg, Bern Bern","7.4334434000000185,46.93885969999992"
"3007 Mayweg, Bern Bern","7.433567200000018,46.93905309999992"
"3007 Mayweg, Bern Bern","7.433383100000018,46.93906649999992"
"3007 Weissenb��hlweg, Bern Bern","7.433938300000018,46.93784379999992"
"3007 Weissenb��hlweg, Bern Bern","7.433766100000018,46.93789559999992"
"3007 Weissenb��hlweg, Bern Bern","7.434200100000019,46.93776379999992"
"3007 Weissenb��hlweg, Bern Bern","7.433998900000018,46.93799859999992"
"3007 Weissenb��hlweg, Bern Bern","7.434340600000018,46.93788239999992"
"3007 Weissenb��hlweg, Bern Bern","7.434535600000018,46.93782169999992"
"3007 Weissenb��hlweg, Bern Bern","7.434883000000018,46.937920199999915"
"3007 Sulgenauweg, Bern Bern","7.434837100000018,46.93837819999992"
"3007 Sulgenauweg, Bern Bern","7.433915400000018,46.938576399999924"
"3007 Sulgenauweg, Bern Bern","7.434220100000018,46.93852559999993"
"3007 Sulgenauweg, Bern Bern","7.434127300000019,46.938738699999924"
"3007 Sulgenauweg, Bern Bern","7.434152800000018,46.938981999999925"
"3007 Sulgenauweg, Bern Bern","7.434449400000019,46.93849649999992"
"3007 Sulgenauweg, Bern Bern","7.434741400000019,46.93841139999992"
"3007 Sulgenauweg, Bern Bern","7.434400000000019,46.93886109999992"
"3007 Sulgenauweg, Bern Bern","7.434738200000019,46.938751399999916"
"3007 Holzikofenweg, Bern Bern","7.435588900000019,46.93664719999992"
"3007 Holzikofenweg, Bern Bern","7.4352256000000185,46.936738099999914"
"3007 Holzikofenweg, Bern Bern","7.435271300000019,46.93696149999991"
"3007 Holzikofenweg, Bern Bern","7.435563800000018,46.93678249999991"
"3007 Morillonstrasse, Bern Bern","7.435914500000019,46.936470999999905"
"3007 Monbijoustrasse, Bern Bern","7.436222800000019,46.936678399999906"
"3007 Morillonstrasse, Bern Bern","7.436121500000019,46.93692189999991"
"3007 Morillonstrasse, Bern Bern","7.4360716000000195,46.93680599999991"
"3007 Morillonstrasse, Bern Bern","7.4360263000000195,46.93670089999991"
"3007 Holzikofenweg, Bern Bern","7.43572080000002,46.936723599999915"
"3007 Weissenb��hlweg, Bern Bern","7.43530260000002,46.93749979999992"
"3007 Weissenb��hlweg, Bern Bern","7.43519770000002,46.93753619999992"
"3007 Weissenb��hlweg, Bern Bern","7.435023400000021,46.93762879999992"
"3007 Weissenb��hlweg, Bern Bern","7.435598200000021,46.93749779999992"
"3007 Weissenb��hlweg, Bern Bern","7.435599600000021,46.93763889999991"
"3007 Weissenb��hlweg, Bern Bern","7.435485900000021,46.937679899999914"
"3007 Weissenb��hlweg, Bern Bern","7.4357958000000215,46.93719339999991"
"3007 Weissenb��hlweg, Bern Bern","7.435948600000022,46.93715389999991"
"3007 Weissenb��hlweg, Bern Bern","7.436104200000021,46.93711369999991"
"3007 Monbijoustrasse, Bern Bern","7.436231800000022,46.93733479999992"
"3007 Weissenb��hlweg, Bern Bern","7.435738700000021,46.93746069999992"
"3007 Weissenb��hlweg, Bern Bern","7.435740100000022,46.93759899999992"
"3007 Weissenb��hlweg, Bern Bern","7.435845500000021,46.93756879999992"
"3007 Monbijoustrasse, Bern Bern","7.4362129000000206,46.93747999999992"
"3007 Monbijoustrasse, Bern Bern","7.436195700000021,46.93761349999992"
"3007 Monbijoustrasse, Bern Bern","7.436404300000021,46.93660749999992"
"3007 Monbijoustrasse, Bern Bern","7.436394700000021,46.93673669999992"
"3007 Weissenb��hlweg, Bern Bern","7.435153100000021,46.93782149999993"
"3007 Weissenb��hlweg, Bern Bern","7.435356300000021,46.937734899999924"
"3007 Sulgenauweg, Bern Bern","7.435168200000021,46.93834739999992"
"3007 Sulgenauweg, Bern Bern","7.435514500000021,46.93818949999992"
"3007 Sulgenauweg, Bern Bern","7.435646500000021,46.93813229999992"
"3007 Sulgenauweg, Bern Bern","7.435519400000021,46.93833489999992"
"3007 Sulgenauweg, Bern Bern","7.435625100000021,46.93828749999992"
"3007 Sulgenauweg, Bern Bern","7.435900000000021,46.93803429999992"
"3007 Sulgenauweg, Bern Bern","7.43605190000002,46.93799449999992"
"3007 Sulgenauweg, Bern Bern","7.436157500000021,46.93796959999992"
"3007 Monbijoustrasse, Bern Bern","7.43608290000002,46.93821419999992"
"3007 Monbijoustrasse, Bern Bern","7.436064100000021,46.93833419999993"
"3007 Sulgenheimweg, Bern Bern","7.435086800000021,46.93865449999993"
"3007 Sulgenheimweg, Bern Bern","7.435288200000021,46.93859859999993"
"3007 Sulgenheimweg, Bern Bern","7.4350087000000205,46.938820999999926"
"3007 Sulgenheimweg, Bern Bern","7.435241300000021,46.93884179999993"
"3007 Sulgenheimweg, Bern Bern","7.4352529000000205,46.93877859999993"
"3007 Sulgenheimweg, Bern Bern","7.43522880000002,46.93890989999993"
"3007 Sulgenheimweg, Bern Bern","7.4350157000000205,46.93900169999993"
"3007 Monbijoustrasse, Bern Bern","7.43596920000002,46.93862429999993"
"3007 Monbijoustrasse, Bern Bern","7.435949400000021,46.93874419999991"
"3007 Friedheimweg, Bern Bern","7.438094100000007,46.93478009999996"
"3007 Roschistrasse, Bern Bern","7.438998400000007,46.93460689999996"
"3007 Roschistrasse, Bern Bern","7.438737000000007,46.934663599999965"
"3007 Roschistrasse, Bern Bern","7.438702900000007,46.934835599999964"
"3007 Roschistrasse, Bern Bern","7.438978500000007,46.934760999999966"
"3007 Seftigenstrasse, Bern Bern","7.439548000000007,46.93424269999996"
"3007 Seftigenstrasse, Bern Bern","7.439981700000008,46.93414899999996"
"3007 Seftigenstrasse, Bern Bern","7.439267600000008,46.93432289999996"
"3007 Friedheimweg, Bern Bern","7.437829000000008,46.93507899999996"
"3007 Friedheimweg, Bern Bern","7.438067800000008,46.93512319999996"
"3007 Friedheimweg, Bern Bern","7.437813300000008,46.935215399999954"
"3007 Friedheimweg, Bern Bern","7.438036300000008,46.93524509999995"
"3007 Friedheimweg, Bern Bern","7.437789600000008,46.93534539999995"
"3007 Friedheimweg, Bern Bern","7.437777400000009,46.935448899999955"
"3007 Friedheimweg, Bern Bern","7.438069400000009,46.935629999999954"
"3007 Friedheimweg, Bern Bern","7.437844500000009,46.935556599999956"
"3007 Roschistrasse, Bern Bern","7.438130400000008,46.93540739999996"
"3007 Roschistrasse, Bern Bern","7.438276800000009,46.93540619999996"
"3007 Roschistrasse, Bern Bern","7.4384285000000085,46.93540489999996"
"3007 Roschistrasse, Bern Bern","7.438575600000009,46.93529889999996"
"3007 Roschistrasse, Bern Bern","7.438923400000009,46.93520479999996"
"3007 Roschistrasse, Bern Bern","7.438943100000009,46.93505419999996"
"3007 Roschistrasse, Bern Bern","7.438667500000009,46.93515189999996"
"3007 Roschistrasse, Bern Bern","7.438685900000009,46.93499329999996"
"3007 Roschistrasse, Bern Bern","7.438576400000009,46.93540359999996"
"3007 Roschistrasse, Bern Bern","7.43891290000001,46.93553179999996"
"3007 Friedheimweg, Bern Bern","7.4380532000000095,46.935876299999954"
"3007 Friedheimweg, Bern Bern","7.4378334000000095,46.93585859999995"
"3007 Friedheimweg, Bern Bern","7.4380339000000095,46.936190799999956"
"3007 Roschistrasse, Bern Bern","7.438883500000009,46.935890999999955"
"3007 Roschistrasse, Bern Bern","7.438853600000009,46.936248999999954"
"3007 Friedheimweg, Bern Bern","7.437981200000008,46.93640929999995"
"3007 Friedheimweg, Bern Bern","7.438384900000008,46.93637859999995"
"3007 Friedheimweg, Bern Bern","7.438349500000008,46.936668499999946"
"3007 Friedheimweg, Bern Bern","7.438361700000008,46.93655869999995"
"3007 Friedheimweg, Bern Bern","7.437776200000008,46.93670869999995"
"3007 Friedheimweg, Bern Bern","7.438246100000009,46.93700799999994"
"3007 Weissenb��hlweg, Bern Bern","7.437752700000009,46.937062399999945"
"3007 Friedheimweg, Bern Bern","7.438247200000009,46.93716849999995"
"3007 Friedheimweg, Bern Bern","7.438317700000009,46.93760519999994"
"3007 Friedheimweg, Bern Bern","7.4381447000000085,46.93766409999994"
"3007 Seftigenstrasse, Bern Bern","7.439837500000008,46.934213699999965"
"3007 Wabernstrasse, Bern Bern","7.439582500000008,46.934846699999966"
"3007 Wabernstrasse, Bern Bern","7.4398879000000075,46.93465469999997"
"3007 Wabernstrasse, Bern Bern","7.440158100000008,46.934660199999975"
"3007 Wabernstrasse, Bern Bern","7.439453000000007,46.935302299999975"
"3007 Wabernstrasse, Bern Bern","7.439316000000008,46.93530499999998"
"3007 Wabernstrasse, Bern Bern","7.439563300000008,46.935000199999976"
"3007 Wabernstrasse, Bern Bern","7.439546200000008,46.935150999999976"
"3007 Wabernstrasse, Bern Bern","7.439844600000008,46.93518949999998"
"3007 Wabernstrasse, Bern Bern","7.439064900000007,46.937285699999975"
"3007 Wabernstrasse, Bern Bern","7.438964100000007,46.937432799999975"
"3007 Wabernstrasse, Bern Bern","7.438843100000007,46.93757309999997"
"3007 Wabernstrasse, Bern Bern","7.439160700000007,46.93660769999997"
"3007 Wabernstrasse, Bern Bern","7.439158100000006,46.93674199999997"
"3007 Wabernstrasse, Bern Bern","7.4391556000000065,46.93688389999996"
"3007 Sulgenbachstrasse, Bern Bern","7.433264300000006,46.941196099999964"
"3007 Tscharnerstrasse, Bern Bern","7.430703700000009,46.94099279999998"
"3007 Eigerplatz, Bern Bern","7.431010100000009,46.94124829999999"
"3007 Eigerplatz, Bern Bern","7.431043700000009,46.94116929999999"
"3007 Eigerplatz, Bern Bern","7.4309774000000095,46.941283699999985"
"3007 Belpstrasse, Bern Bern","7.43108450000001,46.94162279999999"
"3007 Belpstrasse, Bern Bern","7.43120270000001,46.941667499999994"
"3007 Belpstrasse, Bern Bern","7.43120870000001,46.94183039999999"
"3007 Belpstrasse, Bern Bern","7.43124430000001,46.94173709999999"
"3007 Belpstrasse, Bern Bern","7.43127060000001,46.941933399999996"
"3007 Belpstrasse, Bern Bern","7.43132780000001,46.942029299999994"
"3007 Schwarzenburgstrasse, Bern Bern","7.430860900000001,46.9404569000003"
"3007 Schwarzenburgstrasse, Bern Bern","7.430705500000001,46.940354500000296"
"3007 Seftigenstrasse, Bern Bern","7.431347600000001,46.94022710000029"
"3007 Eigerplatz, Bern Bern","7.430799900000002,46.9407808000003"
"3007 Eichmattweg, Bern Bern","7.430431700000002,46.940792800000295"
"3007 Eichmattweg, Bern Bern","7.430232300000003,46.940627400000295"
"3007 Eigerplatz, Bern Bern","7.430692600000004,46.9411570000003"
"3007 Tscharnerstrasse, Bern Bern","7.430627700000004,46.941038600000304"
"3007 Eigerplatz, Bern Bern","7.430590000000004,46.94142940000031"
"3007 Eigerplatz, Bern Bern","7.430916600000005,46.940617200000304"
"3007 Eigerplatz, Bern Bern","7.431478700000007,46.94087890000032"
"3007 Eigerplatz, Bern Bern","7.431380300000007,46.94097820000032"
"3007 Eigerstrasse, Bern Bern","7.4319572000000065,46.940394100000326"
"3007 Eigerstrasse, Bern Bern","7.431926700000006,46.94047350000032"
"3007 Eigerplatz, Bern Bern","7.431605300000006,46.94085330000032"
"3007 Eigerplatz, Bern Bern","7.431117300000006,46.94144180000032"
"3007 Eigerplatz, Bern Bern","7.431343100000006,46.94136980000032"
"3007 M��hlemattstrasse, Bern Bern","7.431693300000005,46.94131240000032"
"3007 M��hlemattstrasse, Bern Bern","7.431777500000007,46.94142950000031"
"3007 M��hlemattstrasse, Bern Bern","7.431625400000007,46.94154110000031"
"3007 M��hlemattstrasse, Bern Bern","7.4316956000000065,46.94163860000031"
"3007 M��hlemattstrasse, Bern Bern","7.431769900000006,46.94174160000031"
"3007 M��hlemattstrasse, Bern Bern","7.432048000000006,46.94180520000031"
"3007 M��hlemattstrasse, Bern Bern","7.431943300000007,46.94165980000031"
"3007 M��hlemattstrasse, Bern Bern","7.431863800000007,46.94154930000031"
"3007 Philosophenweg, Bern Bern","7.431594400000007,46.9419978000003"
"3007 M��hlemattstrasse, Bern Bern","7.4318451000000065,46.9418462000003"
"3007 M��hlemattstrasse, Bern Bern","7.431904500000006,46.941928600000296"
"3007 M��hlemattstrasse, Bern Bern","7.431814500000006,46.94195630000029"
"3007 Philosophenweg, Bern Bern","7.4316094000000055,46.94204430000029"
"3007 Eigerstrasse, Bern Bern","7.432280000000005,46.94111050000029"
"3007 Eigerstrasse, Bern Bern","7.432608500000005,46.94104840000029"
"3007 Eigerstrasse, Bern Bern","7.432804300000005,46.94101040000029"
"3007 Eigerstrasse, Bern Bern","7.4330055000000055,46.940973100000285"
"3007 Sulgenbachstrasse, Bern Bern","7.433458700000005,46.94092740000029"
"3007 Sulgenbachstrasse, Bern Bern","7.433609400000005,46.940876600000294"
"3007 Sulgenbachstrasse, Bern Bern","7.433554200000005,46.941114400000295"
"3007 Sulgenbachstrasse, Bern Bern","7.432574200000005,46.94142960000029"
"3007 Sulgenbachstrasse, Bern Bern","7.432836500000006,46.94155830000029"
"3007 M��hlemattstrasse, Bern Bern","7.4328424000000055,46.94181120000029"
"3007 M��hlemattstrasse, Bern Bern","7.432894200000005,46.94173770000029"
"3007 Sulgenbachstrasse, Bern Bern","7.433624100000005,46.94133570000029"
"3007 Sulgenbachstrasse, Bern Bern","7.432952400000005,46.94160570000029"
"3007 Sulgenbachstrasse, Bern Bern","7.433148500000005,46.941671700000285"
"3007 Sulgenbachstrasse, Bern Bern","7.433512500000005,46.94183430000029"
"3007 Sulgenbachstrasse, Bern Bern","7.433839700000005,46.940773100000285"
"3007 Sulgenbachstrasse, Bern Bern","7.433958600000006,46.940712900000285"
"3007 Sulgenbachstrasse, Bern Bern","7.4337292000000055,46.94082630000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433660000000005,46.94108450000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433788800000005,46.94104290000028"
"3007 Sulgenbachstrasse, Bern Bern","7.4338584000000045,46.941017900000276"
"3007 Sulgenbachstrasse, Bern Bern","7.433927700000004,46.940993000000276"
"3007 Sulgenbachstrasse, Bern Bern","7.434069800000004,46.940940100000276"
"3007 Sulgenbachstrasse, Bern Bern","7.434167100000004,46.94090690000028"
"3007 Sulgenbachstrasse, Bern Bern","7.434018300000004,46.94095990000028"
"3007 Sulgenbachstrasse, Bern Bern","7.434290500000005,46.94113290000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433706100000005,46.94131070000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433798100000005,46.94128270000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433880400000005,46.94125780000028"
"3007 Sulgenbachstrasse, Bern Bern","7.433972900000005,46.94122950000028"
"3007 Friedeckweg, Bern Bern","7.433914100000005,46.94148250000028"
"3007 Sulgenbachstrasse, Bern Bern","7.434058700000005,46.94120340000028"
"3007 Sulgenbachstrasse, Bern Bern","7.434142200000005,46.941178000000285"
"3007 Sulgenbachstrasse, Bern Bern","7.4342188000000045,46.941154800000284"
"3007 Friedeckweg, Bern Bern","7.434068000000004,46.941435700000284"
"3007 Friedeckweg, Bern Bern","7.434208000000004,46.941393200000284"
"3007 Morellweg, Bern Bern","7.433121200000019,46.93743400000013"
"3007 S��dbahnhofstrasse, Bern Bern","7.430525899999966,46.93555719999986"
"3007 S��dbahnhofstrasse, Bern Bern","7.430152999999968,46.93584749999986"
"3007 S��dbahnhofstrasse, Bern Bern","7.430044499999968,46.93593499999986"
"3007 S��dbahnhofstrasse, Bern Bern","7.429794299999968,46.936062299999854"
"3007 Schwarzenburgstrasse, Bern Bern","7.427289999999968,46.93780929999986"
"3007 Schwarzenburgstrasse, Bern Bern","7.428099399999968,46.93828829999987"
"3007 B��rkiweg, Bern Bern","7.431353300000021,46.93928329999991"
"3007 Seftigenstrasse, Bern Bern","7.431548200000021,46.93941219999991"
"3007 Seftigenstrasse, Bern Bern","7.431449200000022,46.939346299999904"
"3007 Seftigenstrasse, Bern Bern","7.431643100000022,46.93947479999991"
"3007 Seftigenstrasse, Bern Bern","7.432707100000021,46.9396729999999"
"3007 Seftigenstrasse, Bern Bern","7.432158100000021,46.9395698999999"
"3007 Seftigenstrasse, Bern Bern","7.431393300000021,46.9398220999999"
"3007 Seftigenstrasse, Bern Bern","7.431843000000021,46.9399832999999"
"3007 Seftigenstrasse, Bern Bern","7.432050300000021,46.939930699999906"
"3007 Seftigenstrasse, Bern Bern","7.4319625000000205,46.940068699999905"
"3007 Seftigenstrasse, Bern Bern","7.4327017000000195,46.9393497999999"
"3007 Mayweg, Bern Bern","7.433526700000019,46.939266499999896"
"3007 Mayweg, Bern Bern","7.433595400000019,46.9394271999999"
"3007 Eigerstrasse, Bern Bern","7.432477000000019,46.9400893999999"
"3007 Eigerstrasse, Bern Bern","7.432583300000019,46.9399720999999"
"3007 Eigerstrasse, Bern Bern","7.432396300000019,46.940188299999896"
"3007 Eigerstrasse, Bern Bern","7.43258490000002,46.9401825999999"
"3007 Eigerstrasse, Bern Bern","7.432702100000019,46.940459899999894"
"3007 Eigerstrasse, Bern Bern","7.433352300000019,46.93998919999989"
"3007 Eigerstrasse, Bern Bern","7.433084500000019,46.940244199999896"
"3007 Eigerstrasse, Bern Bern","7.4335939000000195,46.9402108999999"
"3007 Eigerstrasse, Bern Bern","7.433423700000019,46.9403654999999"
"3007 Eigerstrasse, Bern Bern","7.433507700000019,46.9403187999999"
"3007 Mayweg, Bern Bern","7.43367030000002,46.9391979999999"
"3007 Mayweg, Bern Bern","7.43387280000002,46.9393992999999"
"3007 Mayweg, Bern Bern","7.43397180000002,46.9393682999999"
"3007 Sulgenauweg, Bern Bern","7.43428760000002,46.9391817999999"
"3007 Mayweg, Bern Bern","7.43363690000002,46.9394899999999"
"3007 Eigerstrasse, Bern Bern","7.43410090000002,46.93961009999989"
"3007 Sulgenauweg, Bern Bern","7.4345672000000205,46.93910249999989"
"3007 Sulgenauweg, Bern Bern","7.4347227000000204,46.93933719999989"
"3007 Sulgenauweg, Bern Bern","7.434593300000021,46.93952599999989"
"3007 Sulgenauweg, Bern Bern","7.4347189000000204,46.93971999999989"
"3007 Eigerstrasse, Bern Bern","7.43426740000002,46.93981609999988"
"3007 Eigerstrasse, Bern Bern","7.43365180000002,46.94030289999988"
"3007 Eigerstrasse, Bern Bern","7.43423770000002,46.940208299999874"
"3007 Sulgenauweg, Bern Bern","7.43490560000002,46.939890899999874"
"3007 Eigerstrasse, Bern Bern","7.43491250000002,46.940013299999876"
"3007 Eigerstrasse, Bern Bern","7.43277620000002,46.94078159999987"
"3007 Eigerstrasse, Bern Bern","7.43327710000002,46.94061049999987"
"3007 Eigerstrasse, Bern Bern","7.43297850000002,46.94072559999987"
"3007 Eigerstrasse, Bern Bern","7.433150600000021,46.940666799999875"
"3007 Sulgenheimweg, Bern Bern","7.43518890000002,46.93912229999987"
"3007 Sulgenheimweg, Bern Bern","7.43514130000002,46.939366199999874"
"3007 Sulgenheimweg, Bern Bern","7.43515560000002,46.939285899999874"
"3007 Sulgenheimweg, Bern Bern","7.43511500000002,46.93949169999988"
"3007 Sulgenheimweg, Bern Bern","7.43512820000002,46.93943969999988"
"3007 Monbijoustrasse, Bern Bern","7.43576440000002,46.93917039999988"
"3007 Monbijoustrasse, Bern Bern","7.435851400000019,46.93942089999988"
"3007 Monbijoustrasse, Bern Bern","7.435827300000019,46.93967379999988"
"3007 Eigerstrasse, Bern Bern","7.435228000000019,46.93992979999988"
"3007 Eigerstrasse, Bern Bern","7.435373400000019,46.93988389999988"
"3007 Eigerstrasse, Bern Bern","7.435570400000019,46.93982139999988"
"3007 Eigerstrasse, Bern Bern","7.435700100000019,46.93978089999988"
"3007 Landhausweg, Bern Bern","7.433159400000034,46.93604049999987"
"3007 Landhausweg, Bern Bern","7.433359300000034,46.93616089999987"
"3007 Landhausweg, Bern Bern","7.433284100000034,46.93632249999987"
"3007 Rosenweg, Bern Bern","7.433855400000033,46.935819999999865"
"3007 Rosenweg, Bern Bern","7.433932300000033,46.93592839999987"
"3007 Rosenweg, Bern Bern","7.434259700000034,46.93580169999987"
"3007 Rosenweg, Bern Bern","7.434159900000034,46.93633259999988"
"3007 Rosenweg, Bern Bern","7.434488800000034,46.93574789999988"
"3007 Rosenweg, Bern Bern","7.434533900000035,46.93590609999988"
"3007 Rosenweg, Bern Bern","7.434723000000035,46.93567619999988"
"3007 Rosenweg, Bern Bern","7.434954000000035,46.935758499999885"
"3007 Rosenweg, Bern Bern","7.4346875000000345,46.935859999999884"
"3007 Rosenweg, Bern Bern","7.434392900000034,46.936210799999884"
"3007 Rosenweg, Bern Bern","7.4350834000000345,46.935613799999885"
"3007 Rosenweg, Bern Bern","7.435443400000034,46.93550149999989"
"3007 Rosenweg, Bern Bern","7.435153500000034,46.93570579999989"
"3007 Rosenweg, Bern Bern","7.435126000000034,46.93630709999989"
"3007 Rosenweg, Bern Bern","7.435272800000034,46.936242499999885"
"3007 Landhausweg, Bern Bern","7.433439300000034,46.936498499999885"
"3007 Landhausweg, Bern Bern","7.433516000000034,46.93662349999989"
"3007 Rosenweg, Bern Bern","7.433950500000034,46.936394099999895"
"3007 Landhausweg, Bern Bern","7.433754200000034,46.936451899999895"
"3007 Landhausweg, Bern Bern","7.433771300000034,46.936664799999896"
"3007 Landhausweg, Bern Bern","7.433851800000034,46.9368296999999"
"3007 Landhausweg, Bern Bern","7.433815300000034,46.936739499999895"
"3007 Rosenweg, Bern Bern","7.434370000000034,46.9364392999999"
"3007 Rosenweg, Bern Bern","7.434512700000034,46.9364046999999"
"3007 Rosenweg, Bern Bern","7.4344689000000335,46.936599699999896"
"3007 Rosenweg, Bern Bern","7.434416500000033,46.9365147999999"
"3007 Rosenweg, Bern Bern","7.434516300000033,46.9366765999999"
"3007 Rosenweg, Bern Bern","7.434944400000033,46.9363413999999"
"3007 Rosenweg, Bern Bern","7.434625100000033,46.936848299999895"
"3007 Rosenweg, Bern Bern","7.434567200000033,46.9367584999999"
"3007 Rosenweg, Bern Bern","7.434718400000033,46.9367258999999"
"3007 Rosenweg, Bern Bern","7.4348933000000335,46.9372415999999"
"3007 Rosenweg, Bern Bern","7.434943500000033,46.9370852999999"
"3007 Weissenb��hlweg, Bern Bern","7.435240100000033,46.9373470999999"
"3007 Weissenb��hlweg, Bern Bern","7.435420600000033,46.9372906999999"
"3007 Weissenb��hlweg, Bern Bern","7.435517200000033,46.9372661999999"
"3007 Schwarzenburgstrasse, Bern Bern","7.4275680000000195,46.9384860999998"
"3007 Lentulusstrasse, Bern Bern","7.427947600000019,46.9389668999998"
"3007 Lentulusstrasse, Bern Bern","7.427772800000019,46.9389886999998"
"3007 Schwarzenburgstrasse, Bern Bern","7.427946700000019,46.938815199999794"
"3007 Weissensteinstrasse, Bern Bern","7.427620200000019,46.93889699999979"
"3007 Werdtweg, Bern Bern","7.42868940000002,46.938157799999786"
"3007 Werdtweg, Bern Bern","7.42879650000002,46.93831139999978"
"3007 Weissensteinstrasse, Bern Bern","7.42940270000002,46.937871299999784"
"3007 Armandweg, Bern Bern","7.42927600000002,46.93798109999978"
"3007 Armandweg, Bern Bern","7.42907810000002,46.93812209999978"
"3007 Armandweg, Bern Bern","7.42901220000002,46.93814569999978"
"3007 Armandweg, Bern Bern","7.42913750000002,46.93810089999978"
"3007 Armandweg, Bern Bern","7.429244300000019,46.93818889999978"
"3007 Armandweg, Bern Bern","7.429419700000019,46.93816259999978"
"3007 Armandweg, Bern Bern","7.429385800000019,46.93836989999978"
"3007 Armandweg, Bern Bern","7.429317800000019,46.93828289999978"
"3007 Armandweg, Bern Bern","7.4294816000000194,46.93824279999978"
"3007 Weissensteinstrasse, Bern Bern","7.42818700000002,46.93852559999978"
"3007 Werdtweg, Bern Bern","7.42860790000002,46.93841669999978"
"3007 Beaumontweg, Bern Bern","7.4286642000000205,46.93871349999978"
"3007 Schwarzenburgstrasse, Bern Bern","7.42836740000002,46.93882709999978"
"3007 Schwarzenburgstrasse, Bern Bern","7.428442700000019,46.93892649999978"
"3007 Beaumontweg, Bern Bern","7.42871360000002,46.93877729999978"
"3007 Beaumontweg, Bern Bern","7.4287725000000195,46.93885329999978"
"3007 Werdtweg, Bern Bern","7.428901300000019,46.93844059999978"
"3007 Werdtweg, Bern Bern","7.42902530000002,46.93859859999978"
"3007 Beaumontweg, Bern Bern","7.42900710000002,46.938977199999776"
"3007 Beaumontweg, Bern Bern","7.42923510000002,46.938746599999774"
"3007 Werdtweg, Bern Bern","7.42926340000002,46.93903989999978"
"3007 Werdtweg, Bern Bern","7.42917530000002,46.93898239999978"
"3007 Werdtweg, Bern Bern","7.4294183000000205,46.93893969999978"
"3007 Werdtweg, Bern Bern","7.42948880000002,46.938983199999775"
"3007 Weissensteinstrasse, Bern Bern","7.43032840000002,46.93762759999977"
"3007 Weissensteinstrasse, Bern Bern","7.4304451000000205,46.937585899999775"
"3007 Weissensteinstrasse, Bern Bern","7.43076040000002,46.937374399999776"
"3007 Weissensteinstrasse, Bern Bern","7.43119500000002,46.93721359999978"
"3007 Balmweg, Bern Bern","7.431134500000019,46.93750359999978"
"3007 Balmweg, Bern Bern","7.431161300000019,46.937599999999776"
"3007 Balmweg, Bern Bern","7.431109900000019,46.937415199999776"
"3007 Balmweg, Bern Bern","7.4309540000000185,46.93755209999978"
"3007 Weissensteinstrasse, Bern Bern","7.429517900000018,46.93783019999978"
"3007 Steinauweg, Bern Bern","7.429709500000018,46.93782439999978"
"3007 Steinauweg, Bern Bern","7.429816100000018,46.937998499999786"
"3007 Steinauweg, Bern Bern","7.429915800000018,46.937819099999786"
"3007 Steinauweg, Bern Bern","7.430084300000018,46.937815899999784"
"3007 Steinauweg, Bern Bern","7.430169300000018,46.937783799999785"
"3007 Armandweg, Bern Bern","7.429540300000018,46.938318199999784"
"3007 Steinauweg, Bern Bern","7.429881800000018,46.938098199999786"
"3007 Steinauweg, Bern Bern","7.429964500000018,46.938195299999784"
"3007 Graffenriedweg, Bern Bern","7.4306867000000185,46.938028799999785"
"3007 Graffenriedweg, Bern Bern","7.430473200000018,46.93806509999978"
"3007 Graffenriedweg, Bern Bern","7.430249700000019,46.938103099999786"
